batch_idx,correct,p_adv,time
0,0,0.064431556,0.8849153518676758
1,1,0.0673121,0.848247766494751
2,0,0.066626474,0.8880369663238525
3,1,0.05759162,0.8854818344116211
4,1,0.06034069,0.9194421768188477
5,2,0.062154002,0.8761370182037354
6,5,0.056877702,0.8396937847137451
7,1,0.058283117,0.8530189990997314
8,0,0.05849958,0.9226617813110352
9,1,0.058739282,0.9857950210571289
10,0,0.060967654,0.9028253555297852
11,3,0.06264356,0.935274600982666
12,0,0.06423888,0.8512694835662842
13,2,0.060207706,0.8353331089019775
14,2,0.06071794,0.8261439800262451
15,0,0.0589648,0.9301400184631348
16,1,0.05426353,0.9578917026519775
17,3,0.06161229,0.9412984848022461
18,2,0.063179284,0.9448750019073486
19,3,0.05544789,0.9672708511352539
20,1,0.054265544,0.924839973449707
21,2,0.056849767,0.9194753170013428
22,1,0.05345445,0.9380338191986084
23,3,0.060256198,0.9558868408203125
24,2,0.057979517,0.9654552936553955
25,0,0.058252048,0.9784698486328125
26,3,0.06253629,0.9986717700958252
27,0,0.058314364,1.0570909976959229
28,0,0.05913143,0.9347617626190186
29,5,0.05766598,0.9378106594085693
30,1,0.054979213,0.9240195751190186
31,3,0.05484341,0.9211161136627197
32,3,0.06335019,0.9294655323028564
33,2,0.061175603,0.9301178455352783
34,2,0.060152683,1.0294039249420166
35,1,0.05816879,0.9568443298339844
36,0,0.06243039,0.9382126331329346
37,3,0.059808634,0.9106345176696777
38,2,0.057038426,0.9053466320037842
39,1,0.056621104,0.8819189071655273
40,2,0.057921052,0.8574748039245605
41,1,0.06546967,0.9353470802307129
42,2,0.0616882,0.8968617916107178
43,1,0.05846209,0.8706915378570557
44,2,0.060734592,0.9251697063446045
45,3,0.054747075,0.9034764766693115
46,4,0.049161077,0.9273548126220703
47,1,0.067010835,0.9812281131744385
48,4,0.05608031,0.9365782737731934
49,0,0.0630369,0.9269607067108154
50,1,0.059289604,0.9291269779205322
51,0,0.06484568,0.9145898818969727
52,2,0.06114935,0.9177548885345459
53,1,0.06197147,0.9079148769378662
54,0,0.060083427,0.89312744140625
55,3,0.05896039,0.9081947803497314
56,2,0.06838933,0.865959644317627
57,1,0.06399415,0.8928234577178955
58,0,0.056858364,0.8526785373687744
59,2,0.06134979,0.8347525596618652
60,3,0.066955954,0.9676666259765625
61,3,0.0598341,0.9316918849945068
62,2,0.06222923,0.9418039321899414
63,2,0.06461522,1.0100464820861816
64,2,0.0649686,0.9420337677001953
65,2,0.056908607,0.8704555034637451
66,3,0.064770356,0.907428503036499
67,1,0.05604867,0.8811929225921631
68,3,0.059546493,0.9400613307952881
69,3,0.061879486,0.962550163269043
70,4,0.0602319,0.9164049625396729
71,2,0.053775482,0.9189260005950928
72,0,0.06467162,0.9874637126922607
73,1,0.060576815,0.978165864944458
74,1,0.066226766,0.9514939785003662
75,1,0.057577167,0.9753701686859131
76,2,0.06005588,0.8638916015625
77,0,0.060948856,0.891681432723999
78,1,0.08265736,0.8819119930267334
79,1,0.07855151,0.9299426078796387
80,2,0.0761379,0.8500723838806152
81,0,0.063464,0.9392590522766113
82,0,0.076543406,0.9319255352020264
83,1,0.08052898,0.8655438423156738
84,1,0.07761002,0.9673101902008057
85,0,0.090017244,0.8468241691589355
86,0,0.07684027,0.9582185745239258
87,0,0.0662019,0.8636820316314697
88,3,0.06533574,0.9472131729125977
89,1,0.0625205,0.8837790489196777
90,1,0.07839383,0.9546473026275635
91,3,0.06833458,0.9083833694458008
92,4,0.062310334,0.8858637809753418
93,4,0.06148181,0.8714818954467773
94,0,0.060619228,0.8454418182373047
95,0,0.09918545,0.9793188571929932
96,1,0.08524996,0.9087581634521484
97,0,0.08057449,0.9432857036590576
98,0,0.089616194,0.8687934875488281
99,3,0.07662072,0.9017271995544434
100,1,0.08123511,0.918377161026001
101,0,0.09063612,0.9603793621063232
102,6,0.052562505,0.869257926940918
103,2,0.05097186,0.8355569839477539
104,0,0.07133946,0.8824493885040283
105,2,0.07659661,0.900869607925415
106,1,0.073313646,0.9432246685028076
107,0,0.077478305,0.9604568481445312
108,0,0.08183476,0.9253923892974854
109,0,0.07905907,0.9025137424468994
110,0,0.07995367,0.9502213001251221
111,2,0.07792637,0.8486447334289551
112,1,0.06960252,0.8645780086517334
113,1,0.07074362,0.8696167469024658
114,0,0.08366138,0.9160561561584473
115,0,0.07488692,0.9094760417938232
116,0,0.06482483,0.8653759956359863
117,0,0.075305305,0.8913090229034424
118,0,0.070314445,0.8957059383392334
119,1,0.069410846,0.8467388153076172
120,0,0.07680909,0.8808646202087402
121,0,0.08475508,0.9171953201293945
122,1,0.07714313,0.909259557723999
123,0,0.07919734,0.8694918155670166
